# Light Pollution Monitoring Data Format 1.0
# URL: http://www.darksky.org/measurements
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL-R2
# Instrument ID: Almindingen
# Data supplier: 
# Location name: Sanne, Almindingen
# Position (lat, lon, elev(m)): 
# Local timezone: CET
# Time Synchronization: 
# Moving / Stationary position: STATIONARY
# Moving / Fixed look direction: FIXED
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 7122
# SQM hardware identity: 003BNCD
# SQM firmware version: 4-6-82
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000082,00007122
# SQM readout test rx (Reading): r, 12.61m,0000000844Hz,0000000000c,0000000.000s, 011.9C
# SQM readout test cx (Calibration): c,00000019.93m,0000300.000s, 018.6C,00000008.71m, 019.0C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000000.00m,00000000.00m
# DL time difference (seconds): -6
# DL retrieved at (UTC): 2025-02-06T18:04:32.132
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 0
# DL trigger minutes : 5
# DL trigger threshold : 0
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.358
# UDM setting: DL Retrieve All
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2024-09-02T11:40:37.000;2024-09-02T13:40:37.000;24.8;4.99;9.65;0
2024-09-02T11:45:05.000;2024-09-02T13:45:05.000;25.4;4.99;0.00;1
2024-09-02T11:50:05.000;2024-09-02T13:50:05.000;27.3;4.99;0.00;1
2024-09-02T11:55:05.000;2024-09-02T13:55:05.000;28.6;4.97;0.00;1
2024-09-02T12:00:05.000;2024-09-02T14:00:05.000;29.3;4.97;0.00;1
2024-09-02T12:05:05.000;2024-09-02T14:05:05.000;29.9;4.97;0.00;1
2024-09-02T12:10:05.000;2024-09-02T14:10:05.000;29.3;4.97;0.00;1
2024-09-02T12:15:05.000;2024-09-02T14:15:05.000;29.0;4.97;0.00;1
2024-09-02T12:20:05.000;2024-09-02T14:20:05.000;28.6;4.97;0.00;1
2024-09-02T12:25:05.000;2024-09-02T14:25:05.000;28.0;4.97;0.00;1
2024-09-02T12:30:05.000;2024-09-02T14:30:05.000;27.7;4.97;0.00;1
2024-09-02T12:35:05.000;2024-09-02T14:35:05.000;27.3;4.97;0.00;1
2024-09-02T12:40:05.000;2024-09-02T14:40:05.000;26.7;4.97;0.00;1
2024-09-02T12:45:05.000;2024-09-02T14:45:05.000;26.7;4.99;0.00;1
2024-09-02T12:50:05.000;2024-09-02T14:50:05.000;25.4;4.97;0.00;1
2024-09-02T12:55:05.000;2024-09-02T14:55:05.000;25.1;4.97;0.00;1
2024-09-02T13:00:05.000;2024-09-02T15:00:05.000;25.1;4.97;0.00;1
2024-09-02T13:05:05.000;2024-09-02T15:05:05.000;25.1;4.97;0.00;1
2024-09-02T13:10:05.000;2024-09-02T15:10:05.000;25.1;4.97;0.00;1
2024-09-02T13:15:05.000;2024-09-02T15:15:05.000;25.1;4.97;0.00;1
2024-09-02T13:20:05.000;2024-09-02T15:20:05.000;24.8;4.97;0.00;1
2024-09-02T13:25:05.000;2024-09-02T15:25:05.000;25.1;4.97;0.00;1
2024-09-02T13:30:05.000;2024-09-02T15:30:05.000;25.4;4.97;0.00;1
2024-09-02T13:35:05.000;2024-09-02T15:35:05.000;26.1;4.97;0.00;1
2024-09-02T13:40:05.000;2024-09-02T15:40:05.000;26.4;4.97;0.00;1
2024-09-02T13:45:05.000;2024-09-02T15:45:05.000;26.1;4.97;0.00;1
2024-09-02T13:50:05.000;2024-09-02T15:50:05.000;25.4;4.97;0.00;1
2024-09-02T13:55:05.000;2024-09-02T15:55:05.000;25.1;4.97;0.00;1
2024-09-02T14:00:05.000;2024-09-02T16:00:05.000;25.4;4.97;0.00;1
2024-09-02T14:05:05.000;2024-09-02T16:05:05.000;25.4;4.97;0.00;1
2024-09-02T14:10:05.000;2024-09-02T16:10:05.000;25.4;4.97;0.00;1
2024-09-02T14:15:05.000;2024-09-02T16:15:05.000;25.1;4.97;0.00;1
2024-09-02T14:20:05.000;2024-09-02T16:20:05.000;24.8;4.97;0.00;1
2024-09-02T14:25:05.000;2024-09-02T16:25:05.000;24.8;4.97;0.00;1
2024-09-02T14:30:05.000;2024-09-02T16:30:05.000;24.4;4.97;0.00;1
2024-09-02T14:35:05.000;2024-09-02T16:35:05.000;23.5;4.97;0.00;1
2024-09-02T14:40:05.000;2024-09-02T16:40:05.000;23.2;4.97;0.00;1
2024-09-02T14:45:05.000;2024-09-02T16:45:05.000;22.5;4.97;0.00;1
2024-09-02T14:50:05.000;2024-09-02T16:50:05.000;21.5;4.97;0.00;1
2024-09-02T14:55:05.000;2024-09-02T16:55:05.000;21.2;4.97;0.00;1
2024-09-02T15:00:05.000;2024-09-02T17:00:05.000;20.6;4.97;0.00;1
2024-09-02T15:05:05.000;2024-09-02T17:05:05.000;20.6;4.97;0.00;1
2024-09-02T15:10:05.000;2024-09-02T17:10:05.000;19.9;4.97;0.00;1
2024-09-02T15:15:05.000;2024-09-02T17:15:05.000;19.9;4.97;0.00;1
2024-09-02T15:20:05.000;2024-09-02T17:20:05.000;19.9;4.97;0.00;1
2024-09-02T15:25:05.000;2024-09-02T17:25:05.000;19.9;4.97;0.00;1
2024-09-02T15:30:05.000;2024-09-02T17:30:05.000;19.9;4.97;0.00;1
2024-09-02T15:35:05.000;2024-09-02T17:35:05.000;20.3;4.97;0.00;1
2024-09-02T15:40:05.000;2024-09-02T17:40:05.000;19.9;4.97;0.00;1
2024-09-02T15:45:05.000;2024-09-02T17:45:05.000;20.3;4.97;0.00;1
2024-09-02T15:50:05.000;2024-09-02T17:50:05.000;20.3;4.97;0.00;1
2024-09-02T15:55:05.000;2024-09-02T17:55:05.000;20.6;4.97;0.00;1
2024-09-02T16:00:05.000;2024-09-02T18:00:05.000;20.3;4.97;0.00;1
2024-09-02T16:05:05.000;2024-09-02T18:05:05.000;19.9;4.97;0.00;1
2024-09-02T16:10:05.000;2024-09-02T18:10:05.000;19.9;4.97;0.00;1
2024-09-02T16:15:05.000;2024-09-02T18:15:05.000;19.9;4.97;0.00;1
2024-09-02T16:20:05.000;2024-09-02T18:20:05.000;19.3;4.97;0.00;1
2024-09-02T16:25:05.000;2024-09-02T18:25:05.000;19.3;4.97;0.00;1
2024-09-02T16:30:05.000;2024-09-02T18:30:05.000;19.3;4.97;0.00;1
2024-09-02T16:35:05.000;2024-09-02T18:35:05.000;19.0;4.97;0.00;1
2024-09-02T16:40:05.000;2024-09-02T18:40:05.000;18.6;4.97;0.00;1
2024-09-02T16:45:05.000;2024-09-02T18:45:05.000;18.6;4.97;0.00;1
2024-09-02T16:50:05.000;2024-09-02T18:50:05.000;18.6;4.97;0.00;1
2024-09-02T16:55:05.000;2024-09-02T18:55:05.000;18.6;4.97;0.00;1
2024-09-02T17:00:05.000;2024-09-02T19:00:05.000;18.6;4.97;0.00;1
2024-09-02T17:05:05.000;2024-09-02T19:05:05.000;18.3;4.97;0.00;1
2024-09-02T17:10:05.000;2024-09-02T19:10:05.000;18.0;4.97;0.00;1
2024-09-02T17:15:05.000;2024-09-02T19:15:05.000;18.0;4.97;0.00;1
2024-09-02T17:20:05.000;2024-09-02T19:20:05.000;18.0;4.97;0.00;1
2024-09-02T17:25:05.000;2024-09-02T19:25:05.000;18.0;4.97;0.00;1
2024-09-02T17:30:05.000;2024-09-02T19:30:05.000;17.7;4.97;0.00;1
2024-09-02T17:35:05.000;2024-09-02T19:35:05.000;17.7;4.97;6.00;1
2024-09-02T17:40:05.000;2024-09-02T19:40:05.000;17.7;4.97;6.05;1
2024-09-02T17:45:05.000;2024-09-02T19:45:05.000;17.4;4.97;6.36;1
2024-09-02T17:50:05.000;2024-09-02T19:50:05.000;17.0;4.97;6.76;1
2024-09-02T17:55:05.000;2024-09-02T19:55:05.000;17.0;4.97;7.06;1
2024-09-02T18:00:05.000;2024-09-02T20:00:05.000;17.0;4.97;7.36;1
2024-09-02T18:05:05.000;2024-09-02T20:05:05.000;17.0;4.97;7.67;1
2024-09-02T18:10:05.000;2024-09-02T20:10:05.000;16.7;4.97;8.04;1
2024-09-02T18:15:05.000;2024-09-02T20:15:05.000;17.0;4.97;8.66;1
2024-09-02T18:20:05.000;2024-09-02T20:20:05.000;17.0;4.97;9.35;1
2024-09-02T18:25:05.000;2024-09-02T20:25:05.000;16.7;4.97;10.12;1
2024-09-02T18:30:05.000;2024-09-02T20:30:05.000;16.7;4.97;10.90;1
2024-09-02T18:35:05.000;2024-09-02T20:35:05.000;16.7;4.97;11.68;1
2024-09-02T18:40:05.000;2024-09-02T20:40:05.000;16.7;4.97;12.59;1
2024-09-02T18:45:05.000;2024-09-02T20:45:05.000;16.7;4.97;13.47;1
2024-09-02T18:50:05.000;2024-09-02T20:50:05.000;16.4;4.97;14.39;1
2024-09-02T18:55:05.000;2024-09-02T20:55:05.000;16.4;4.97;15.40;1
2024-09-02T19:00:05.000;2024-09-02T21:00:05.000;16.4;4.97;16.24;1
2024-09-02T19:05:05.000;2024-09-02T21:05:05.000;16.4;4.97;16.95;1
2024-09-02T19:10:05.000;2024-09-02T21:10:05.000;16.4;4.97;17.58;1
2024-09-02T19:15:05.000;2024-09-02T21:15:05.000;16.4;4.97;18.17;1
2024-09-02T19:20:05.000;2024-09-02T21:20:05.000;16.1;4.97;18.74;1
2024-09-02T19:25:05.000;2024-09-02T21:25:05.000;16.1;4.97;19.26;1
2024-09-02T19:30:05.000;2024-09-02T21:30:05.000;16.1;4.97;19.74;1
2024-09-02T19:35:05.000;2024-09-02T21:35:05.000;16.1;4.97;20.14;1
2024-09-02T19:40:05.000;2024-09-02T21:40:05.000;16.1;4.97;20.49;1
2024-09-02T19:45:06.000;2024-09-02T21:45:06.000;15.7;4.97;20.76;1
2024-09-02T19:50:05.000;2024-09-02T21:50:05.000;15.7;4.97;20.94;1
2024-09-02T19:55:06.000;2024-09-02T21:55:06.000;15.7;4.97;21.06;1
2024-09-02T20:00:07.000;2024-09-02T22:00:07.000;15.7;4.97;21.12;1
